	PCA_1	PCA_2	UMAP_1	UMAP_2	tSNE_1	tSNE_2
TCGA-69-8254-01	3.9004579248314126	0.11940575271471249	11.179349	8.233107	6.6448565	-18.66426
TCGA-69-8255-01	-0.7997563599041797	-0.9191952456438872	12.638727	4.823085	2.011971	5.6857443
TCGA-69-8453-01	0.5504665130427855	1.573315754400307	12.488672	7.4221463	21.281797	-8.561063
TCGA-69-A59K-01	3.1257616290807833	0.9245178475929728	10.47466	6.8798637	9.552488	-10.909044
TCGA-71-6725-01	-4.339409737752675	-2.4808693948857314	12.938163	4.0864635	6.171639	10.329164
TCGA-71-8520-01	-5.558756750166008	3.2554761077781365	11.498095	4.1967716	1.0225595	27.8191
TCGA-73-4658-01	3.9829731264343793	-1.7370069303712155	14.428057	8.845488	-5.5744066	-14.517425
TCGA-73-4659-01	-4.320893999860603	-4.253385241482572	14.643831	5.028428	-1.0067557	17.319824
TCGA-73-4662-01	-2.541827857242281	-4.5884501197411165	17.25749	5.750032	-17.22044	5.366256
TCGA-73-4666-01	1.7416283458395707	-3.54101651787873	17.123411	6.8692284	-16.292503	-1.8352233
TCGA-73-4668-01	-0.6238165852523965	-3.1129508247156528	17.51565	6.0645256	-19.616776	4.1148148
TCGA-73-4670-01	-4.3303345136199045	0.2631484835500692	16.59796	3.8932667	-15.52799	13.944144
TCGA-73-4675-01	0.23422051625405446	-2.0586911482791566	17.280796	6.35822	-16.521442	2.918831
TCGA-73-4676-01	3.381384497486752	-0.3149571213979682	14.8179655	8.950598	-6.971067	-12.077339
TCGA-73-4677-01	2.119233377583068	-2.724081567722415	17.016527	7.1236744	-14.29109	-1.3661916
TCGA-73-7498-01	0.5690940067696106	1.4606412169696716	12.757929	7.307894	22.587345	-7.985932
TCGA-73-7499-01	-3.6272031248168637	-2.0652060654963655	15.880023	4.393534	-8.521079	10.769328
TCGA-73-A9RS-01	-4.578196241780679	-2.1438946273332173	14.665244	5.1909833	-2.3354602	19.248781
TCGA-75-5122-01	3.20196234235173	-0.5275007365400903	15.797744	8.696658	-5.4831367	-6.6469555
TCGA-75-5125-01	0.23321135670718593	-0.19280422270749886	16.177769	6.8815756	-8.812103	0.01303338
TCGA-75-5126-01	1.2267019351594797	-1.7027826998793487	13.890835	9.375734	-12.032823	-18.907276
TCGA-75-5146-01	2.959112064683229	0.126783807147846	15.932342	8.503196	-4.9458175	-5.561093
TCGA-75-5147-01	2.9579526870456694	-0.37227259244288036	16.161606	8.418766	-8.18903	-6.166029
TCGA-75-6203-01	3.7131425151370845	-2.620953613884297	15.554476	9.243705	-12.546827	-12.463226
TCGA-75-6205-01	1.5131580165641205	-1.7694825701015644	16.793617	7.2469144	-12.156445	-0.7276895
TCGA-75-6206-01	-0.2800655802021488	-4.076775545078916	17.346727	6.12185	-18.346785	2.75421
TCGA-75-6207-01	1.9555450630458797	-2.462363308835402	15.444537	7.507467	-13.054402	-4.708559
TCGA-75-6211-01	0.16422789819082087	-3.1845582972203137	17.52107	6.3147473	-20.39055	3.3557675
TCGA-75-6212-01	-3.181570751324398	-2.907120329164816	17.176786	5.3713307	-16.606182	6.8612576
TCGA-75-6214-01	-0.2407612779706329	-0.9381455821353739	16.123726	6.569342	-7.7956557	1.1190481
TCGA-75-7025-01	-2.2572446967025517	-4.034262915226124	14.944982	5.66677	-3.024942	14.9564295
