,run,na_ratio,tool,mae_cont,mae_cat,mae_joint,acc_cat,mre_cont,dim,bins,discretization
143,9.0,0.1,POME,16.022402303658012,-1,-1,0.9123595505617977,109913249011771.25,64,7,nonlinear
144,6.0,0.05,KNN,15.15815521552018,-1,-1,0.8716814159292036,99100347774305.0,-1,-1,
145,6.0,0.05,AutoComplete,15.09152409440857,-1,-1,0.8915929203539823,117928900030346.75,-1,-1,
146,6.0,0.05,MissForest,11.858707774660123,-1,-1,0.8738938053097345,33829477202964.367,-1,-1,
147,6.0,0.05,POME,15.589840404868449,-1,-1,0.8738938053097345,105604928748446.67,16,7,nonlinear
148,6.0,0.05,POME,15.562248824059434,-1,-1,0.8982300884955752,105604928748446.67,32,7,nonlinear
149,6.0,0.05,POME,15.76978930771934,-1,-1,0.8938053097345132,113895474654568.11,64,7,nonlinear
150,1.0,0.1,KNN,17.61154996684323,-1,-1,0.8668981481481481,122471948835938.11,-1,-1,
151,1.0,0.1,AutoComplete,17.511830980322326,-1,-1,0.8854166666666666,140553598363283.53,-1,-1,
152,1.0,0.1,MissForest,14.354378240625765,-1,-1,0.8703703703703703,40991149213783.51,-1,-1,
153,1.0,0.1,POME,17.84323427786175,-1,-1,0.8703703703703703,118648647333343.6,16,7,nonlinear
154,1.0,0.1,POME,17.782352092361325,-1,-1,0.8900462962962963,118648647333343.6,32,7,nonlinear
155,1.0,0.1,POME,17.820346755285716,-1,-1,0.8912037037037037,118648647333343.6,64,7,nonlinear
156,5.0,0.1,KNN,16.018392305492604,-1,-1,0.8481283422459893,107323407236459.42,-1,-1,
157,5.0,0.1,AutoComplete,15.990124214139268,-1,-1,0.8748663101604278,113513495829062.61,-1,-1,
158,5.0,0.1,MissForest,12.599169511560468,-1,-1,0.8449197860962567,35423095310027.46,-1,-1,
159,5.0,0.1,POME,16.189930216660148,-1,-1,0.8449197860962567,97443408388482.97,16,7,nonlinear
160,5.0,0.1,POME,16.057899537232068,-1,-1,0.8727272727272727,98203297132136.05,32,7,nonlinear
161,5.0,0.1,POME,16.101363418274126,-1,-1,0.8705882352941177,97443408388482.97,64,7,nonlinear
162,1.0,0.01,KNN,18.353268116563033,-1,-1,0.803921568627451,77670890015968.44,-1,-1,
163,1.0,0.01,AutoComplete,16.926930205857886,-1,-1,0.803921568627451,74476088642349.39,-1,-1,
164,1.0,0.01,MissForest,14.386810407542411,-1,-1,0.803921568627451,28605392737121.836,-1,-1,
165,1.0,0.01,POME,19.337594031328912,-1,-1,0.803921568627451,80146567996927.17,16,7,nonlinear
166,1.0,0.01,POME,19.254569017309223,-1,-1,0.8333333333333334,80146567996927.03,32,7,nonlinear
167,1.0,0.01,POME,19.44959293714951,-1,-1,0.8235294117647058,80146567996927.17,64,7,nonlinear
168,3.0,0.25,KNN,17.65992437162051,-1,-1,0.8654627539503386,124291166772387.2,-1,-1,
169,3.0,0.25,AutoComplete,17.364242069173784,-1,-1,0.8830699774266366,124139487362556.69,-1,-1,
170,3.0,0.25,MissForest,14.307407894222447,-1,-1,0.8659142212189617,39209130558494.23,-1,-1,
171,3.0,0.25,POME,16.967829644689825,-1,-1,0.8767494356659142,100416197360174.34,16,7,nonlinear
