Method,Target,Type,Score,Precision,Recall,F1
POME,Neutropenic Fever,AP,0.08223425932394707,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.18630449943591082,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.11617500837607495,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.235991378935157,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.12007591517543556,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.14372766852707392,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.13964789773037534,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.1983232013499184,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.18621207360266498,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.14135423212059717,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.05407956443922271,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.08899112131982972,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.09515466747043355,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.1043528028441423,0.0,0.0,0.0
Naive,Neutropenic Fever,AP,0.0512646793134598,-1.0,-1.0,-1.0
POME,Aplasia,AP,0.3211400851193357,0.3793103448275862,0.12359550561797752,0.1864406779661017
UMAP,Aplasia,AP,0.3363654703702734,0.3902439024390244,0.1797752808988764,0.24615384615384617
POME,Aplasia,AP,0.40954256935798405,0.45454545454545453,0.07042253521126761,0.12195121951219512
UMAP,Aplasia,AP,0.37003878174202187,0.6086956521739131,0.19718309859154928,0.2978723404255319
POME,Aplasia,AP,0.44442629502998204,0.6190476190476191,0.14444444444444443,0.23423423423423423
UMAP,Aplasia,AP,0.4050376034380688,0.4888888888888889,0.24444444444444444,0.32592592592592595
POME,Aplasia,AP,0.41682419872216336,0.6071428571428571,0.17525773195876287,0.272
